X 	 Y 	 R 	 theta 
#With Preamplifier, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.3s 18dB, waiting time= 1s, sensitivity=20mV, position 9.1mm
0.00192643	0.00320055	0.00375845	58.83
0.00215723	0.00359632	0.00419429	59.046
0.00216104	0.00362684	0.0042229	59.178
0.00215246	0.00361063	0.00420383	59.208
0.00216581	0.00363161	0.00422958	59.142
0.00218298	0.00361921	0.00422576	58.914
0.00215532	0.00362302	0.00421432	59.256
0.00215055	0.00360967	0.00420478	59.148
0.00220491	0.00361826	0.0042372	58.674
0.0021763	0.00361253	0.00421718	58.926
0.00219251	0.00361921	0.00423148	58.806
0.00216962	0.00358965	0.0041962	58.824
0.00217344	0.00362302	0.00422481	59.052
0.00215723	0.00361635	0.00420955	59.178
0.00216772	0.00361253	0.00421432	59.016
0.00217916	0.00358869	0.0041981	58.74
0.00216295	0.00359918	0.0041981	59.004
0.00216199	0.00358774	0.00418857	58.932
0.00215437	0.003603	0.00419906	59.118
0.00217439	0.00361349	0.00421622	58.98
0.00216199	0.00360967	0.00420764	59.064
0.00218202	0.00361826	0.00422481	58.914
0.00216962	0.0036297	0.00422958	59.142
0.00216295	0.00363256	0.00422767	59.238
0.00216009	0.00361826	0.00421336	59.148
0.00215627	0.00359632	0.00419429	59.046
0.00217439	0.00360872	0.00421432	58.92
0.00215913	0.00359346	0.00419238	59.04
0.0023451	0.00432685	0.00495151	61.572
0.00275899	0.0055218	0.00617984	63.462
0.00278093	0.00569823	0.00634292	63.99
0.0027981	0.00573352	0.0063782	63.984
0.00280572	0.00577548	0.00642207	64.11
0.0027857	0.00580123	0.00643542	64.344
0.00280572	0.00578693	0.0064297	64.152
0.00276662	0.00577262	0.00640109	64.392
0.00276281	0.00575641	0.00638393	64.374
0.00276567	0.00578693	0.00641444	64.44
0.00279619	0.00577739	0.00641921	64.17
0.00279237	0.00573733	0.00638106	64.038
0.00276567	0.00571159	0.00634483	64.17
0.00276567	0.00570586	0.00634101	64.146
0.00276758	0.005703	0.00634006	64.122
0.00276281	0.00571826	0.0063515	64.206
0.00275995	0.00573447	0.00636485	64.32
0.00278093	0.00573924	0.0063782	64.14
0.00275995	0.00569156	0.0063248	64.152
0.00277044	0.00573924	0.00637248	64.224
0.0027857	0.00576594	0.00640395	64.224
0.00279237	0.00578597	0.00642398	64.224
0.00281145	0.00577071	0.00642017	64.026
0.00278093	0.00578025	0.0064154	64.326
0.00254728	0.00515369	0.00571826	63.702
0.00192643	0.00328352	0.00378229	59.664
0.00172997	0.00275041	0.00324823	57.792
0.00195123	0.00330736	0.00388052	59.49
0.00267698	0.00537875	0.0060263	63.534
0.00279047	0.00577453	0.0064154	64.224
0.00278093	0.00577357	0.00640777	64.302
0.00280286	0.00579551	0.00643829	64.152
0.00281335	0.00579742	0.00644401	64.134
0.00278379	0.00577739	0.00641349	64.278
0.00280286	0.00577453	0.00641921	64.086
0.00281049	0.00577453	0.00642207	64.056
0.0027876	0.00577548	0.00641158	64.236
0.00254251	0.00554565	0.00608543	65.526
0.00220968	0.00517753	0.00562575	66.918
0.00221826	0.00524142	0.00570014	66.978
0.00260545	0.00565341	0.00623134	65.184
0.00276853	0.00573543	0.00636962	64.236
0.00279428	0.00573447	0.00637916	64.014
0.00280954	0.00573066	0.00638297	63.858
0.0028515	0.00570682	0.0063782	63.438
0.00285055	0.00559333	0.00627711	62.97
0.00287153	0.00554946	0.00624946	62.64
0.00284959	0.0055714	0.00625804	62.916
0.00284006	0.00553039	0.00621417	62.832
0.00276853	0.00521758	0.00590232	62.022
0.00272371	0.00507072	0.00575832	61.746
0.00274087	0.00516036	0.00584605	62.034
0.00284959	0.00545791	0.00616172	62.412
0.00288774	0.00559142	0.00629523	62.67
0.00288202	0.00557807	0.00627902	62.67
0.00288297	0.0055733	0.00627425	62.658
0.00288774	0.0055733	0.00627616	62.61
0.0029154	0.00561336	0.00632671	62.538
0.00295164	0.00565246	0.0063763	62.436
0.002903	0.00559428	0.0063	62.598
0.00280954	0.00550464	0.00618079	62.958
0.00275613	0.00538447	0.00604156	62.934
0.00262548	0.00519851	0.00582221	63.216
0.00260068	0.00518325	0.00580123	63.342
0.00278093	0.00547698	0.00615028	63.018
0.00286962	0.00560763	0.0063	62.874
0.00289156	0.00561145	0.00631335	62.718
0.00290681	0.00559524	0.00630477	62.562
0.00291349	0.00561908	0.00633147	62.61
0.00293829	0.00568679	0.00640109	62.664
0.00296308	0.00568011	0.00640681	62.454
0.00298502	0.00567821	0.00641444	62.268
0.00296785	0.00572494	0.00644878	62.604
0.00295736	0.00570872	0.0064297	62.61
0.00294782	0.00567153	0.00639156	62.55
0.00291444	0.00564483	0.0063515	62.7
0.0029278	0.00565341	0.00636676	62.622
0.00291826	0.0056515	0.00635818	62.718
0.00283147	0.00550845	0.00619224	62.778
0.00284769	0.00548747	0.0061827	62.562
0.00283815	0.00548556	0.00617889	62.616
0.00290777	0.00560191	0.0063124	62.562
0.00291063	0.00567535	0.00638011	62.832
