Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence with Filter (NE07A-B), ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.1s 18dB, waiting time= 0.9s, sensitivity=20mV
2.0265	8.6	5.737317999999999e-11	-1.43052e-05	5.14986e-05	5.53133e-05	115.314
3.6773	8.604	5.739986519999999e-11	-9.53682e-07	-7.62945e-06	7.62945e-06	-130.236
5.1095	8.608	5.74265504e-11	-2.00273e-05	-1.62126e-05	2.86103e-05	-137.49
6.8422	8.612	5.74532356e-11	-1.81199e-05	-1.14442e-05	2.3842e-05	-160.644
8.3238	8.616	5.74799208e-11	-3.62399e-05	8.58313e-06	3.91009e-05	162.702
9.8052	8.62	5.750660599999999e-11	1.52589e-05	9.53682e-07	1.90736e-05	-12.336
11.259	8.624	5.75332912e-11	2.28883e-05	-2.86104e-06	2.00273e-05	1.848
12.9805	8.628	5.75599764e-11	1.71663e-05	-2.86104e-06	1.52589e-05	-17.652
14.4845	8.632	5.75866616e-11	-2.47956e-05	-1.62126e-05	2.86103e-05	-144.294
15.9753	8.636	5.761334679999999e-11	-1.14442e-05	8.58313e-06	1.14442e-05	74.478
17.4473	8.64	5.7640032e-11	1.04905e-05	0.0	1.04905e-05	-42.708
18.9045	8.644	5.76667172e-11	5.43597e-05	1.71663e-05	5.53133e-05	13.524
20.3744	8.648	5.7693402399999996e-11	3.91009e-05	-2.28883e-05	5.24523e-05	-22.458
21.8382	8.652	5.7720087599999994e-11	5.9128e-05	4.10082e-05	7.62944e-05	27.456
23.334	8.656	5.77467728e-11	4.86376e-05	4.7684e-06	4.19619e-05	11.886
